Text,Emoji,retweet_count,favorite_count
Transcripts released Saturday in the impeachment inquiry show Ambassador Gordon Sondland playing a central role in President Donald Trump’s effort to push Ukraine to conduct political investigations as a condition for receiving needed military aid. https://t.co/CZOaTDOp1r,,0,0
"@realDonaldTrump I got a noble idea why not make yourself 100% (Donald J Trump)transparent and let the American people decide for themselves who the hell Donald Trump really is, And I guarantee it he will not be reelected again https://t.co/k4U6gYYIM5",,0,0
Kaepernick's return to the NFL is 100% contingent on whether Donald Trump is still president a year from now. Nothing more or less,,0,0
"@IlhanMN I believe In all that too, but I’m afraid that America is just not ready for some of these things. I wish people were, but our main focus should absolutely be beating Donald Trump. &amp; if a more moderate candidate is the way, then so be it.",,0,0
"@TDayShark @Mariodt13 Trump Heart Attack
Rushed to Walter Reed
On Saturday afternoon
https://t.co/7Gn0SsPptP",,0,0
"@CNN Donald Trump and the terrible, horrible, no good, very bad thirty six hours.",,0,0
@MSNBC Donald Trump has taught us that when he speaks he lies. He's also taught us that either he believes he's beyond protocol/rules/norms &amp; even the law &amp; constitution--or that he frankly doesn't care.,,0,0
@KamalaHarris We voted for Donald Trump to keep this criminal out of the White House. https://t.co/jNf8j3Hc5E,,0,0
"The DoD has dumped millions of dollars into the NFL and the league is run by Donald Trump’s closest friends. 

Of course Kap will not get signed anytime soon. The reasons are obvious. 
Anyone obfuscating that or playing “devils advocate” are bootlickers or mouthpieces.",,0,0
"Election Update:
Michael Bloomberg - 2.9%
Bernie Sanders - 7.7%
Pete Buttigieg - 8.3%
Joe Biden - 12.5%
Elizabeth Warren - 16.7%
Donald Trump - 41.7%",,0,0
"@KellyannePolls @realDonaldTrump @GOP @GOPLeader @senatemajldr 

#MoscowMitchTraitor 

Brown nosed kellyanne, troll everyday, did you get tLump of 💩's misogynist's play?
 https://t.co/C9VlVy5HSG",💩,0,0
@JDiamond1 @gtconway3d First part meaning the first 200lbs today and the other 200lbs tomorrow! 😂🤣🤣🤣 #fat #health #politics #trump #donald #physical #Election2020 https://t.co/UJQcRj6Kiu,😂🤣,0,0
"Donald Trump 🇷🇺 and William Barr 🇷🇺 are America's *National Emergency*, these two together brings more danger to the United States than anything else in the world.

#ImpeachAndRemove 
#ImpeachTrumpNow 
#ImpeachBarrNow",🇷🇺,0,0
"Do you think that #Socialism (or the #GreenNewDeal) is a good thing, or #Capitalism is inherently bad? This discussion is informative to watch: Donald Trump Jr. on The Adam Carolla Show https://t.co/1sRNYM0ZbF via @YouTube #PPC @99freemind @peoplespca @MaximeBernier",,0,0
"If Trump survives impeachment, it’s clear who he’ll have to thank | Jonathan Freedland https://t.co/syYH0dapxz",,0,0
Donald Trump Jr.'s new book may be a No. 1 New York Times best seller only because of bulk orders linked to the Republican Party https://t.co/1nx9yK0PiZ via @businessinsider,,0,0
White people think Kap kneeling to hold BAD cops accountable for murdering innocent blacc people means he hates ALL of them &amp; ALL cops lmao 😂 man same niggas elected Donald Trump &amp; think Obama was in office during 9/11 can’t help em 🤷🏽‍♂️,😂🤷,0,0
Naked Donald Trump statues are popping up across America https://t.co/36wEqRnX4m,,0,0
President Donald J. Trump's Accomplishments List https://t.co/cTjQdoPLY5,,0,0
Donald Trump Announces Revolutionary Healthcare Transparency Rules https://t.co/NleKGjSEnN,,2,2
